,
BlockId,Label
blk_-1608999687919862906,Normal
blk_7503483334202473044,Normal
blk_-3544583377289625738,Anomaly
blk_-9073992586687739851,Normal
blk_7854771516489510256,Normal
blk_1717858812220360316,Normal
blk_-2519617320378473615,Normal
blk_7063315473424667801,Normal
blk_8586544123689943463,Normal
blk_2765344736980045501,Normal
blk_-2900490557492272760,Normal
blk_-50273257731426871,Normal
blk_4394112519745907149,Normal
blk_3640100967125688321,Normal
blk_-40115644493265216,Normal
blk_-8531310335568756456,Anomaly
blk_-3409923645141256069,Normal
blk_3974948352784823938,Normal
blk_5647760196018207394,Normal
blk_-202775138379690649,Normal
blk_-8120118743897862909,Normal
blk_8376667364205250596,Normal
blk_-1942808544656255720,Normal
blk_3947106522258141922,Anomaly
blk_-4513615671112005170,Normal
blk_5703440264997337028,Normal